,q_0.005,q_0.01,q_0.015,q_0.02,q_0.025,q_0.03,q_0.035,q_0.04,q_0.045,q_0.05,q_0.5,q_0.95,q_0.955,q_0.96,q_0.965,q_0.97,q_0.975,q_0.98,q_0.985,q_0.99,q_0.995
Hour 1,0.08224678723781798,0.14692779397798755,0.20817220673030457,0.2656109015962098,0.3175849540230822,0.3696462420191141,0.4156634294348643,0.46337805715911756,0.5079698318411382,0.5441867357626542,1.0060955210186329,0.32571619896117626,0.306617373939511,0.2831746121858577,0.2580764537424887,0.23327350860796264,0.2038163241351075,0.17394204566736748,0.13799979551238037,0.1030010715814767,0.05857648506558414
Hour 2,0.0664024752140478,0.12037389625598006,0.16843381213458397,0.213009855644422,0.25322775121607377,0.29351618149963465,0.33111302954005245,0.36473681243559825,0.3964726582922787,0.42770597523237175,0.1822512156234275,0.3868416603768661,0.35776752803541395,0.3275593142897432,0.2972178560388039,0.2648606000326059,0.2304447559049651,0.19251682443906706,0.15363205017403841,0.10938551318365664,0.06265986555400206
Hour 3,0.06821124518631302,0.12475920229844821,0.1764421141524463,0.22141439070451518,0.2673043269011389,0.309685828915147,0.35146788103810167,0.3903473311454458,0.4258415504064501,0.46436111226208787,1.1734727472398685,0.20925812305327085,0.19739924309272955,0.18698660191451527,0.1719974717209221,0.15669869466558528,0.13845170684225025,0.11846443462332747,0.09787160453447409,0.07319201104505839,0.04216335564285752
Hour 4,0.06970082186451852,0.12329159624702647,0.1668345799575121,0.21063453450950667,0.24873210239454713,0.2840317979757281,0.31839065978755743,0.3497042712989095,0.37765072854236503,0.40225936317391614,0.06964054279975507,0.319429099999926,0.2948757996726675,0.27075428301436255,0.24515086052711216,0.21764685666557382,0.18957506662079116,0.16031913957501046,0.1270184121436922,0.09244213428332047,0.050492438267446475
Hour 5,0.04578151796123233,0.08216993676611128,0.11502666967419367,0.1428103360160666,0.17195568673033013,0.19456667796255156,0.21969015066519246,0.244075349304176,0.2664165538649638,0.287109334885853,0.07358232197061021,0.27727995059714744,0.2560094181125178,0.23364156402106978,0.214644664060298,0.19172839600815633,0.16741368640839613,0.1407020067022828,0.11140991904531788,0.07973268490013265,0.04569823234375447
Hour 6,0.09589984908337341,0.1724195038557323,0.24238509224924154,0.30786862976394963,0.36707304235713495,0.42349265656978535,0.47677705489601946,0.5256476532111605,0.5725623018115183,0.6189204790782448,1.1374674163478051,0.34601548002901245,0.3206953164538891,0.29798908249165873,0.27221949932843115,0.2419494243829932,0.2133268179130922,0.18252184333184412,0.14672874892273638,0.1061838829435065,0.06172496235620866
Hour 7,0.07414910821377159,0.13623327621479,0.19145014196192423,0.2452243660978891,0.296738720345563,0.3457843277621201,0.39357473858322145,0.4383708378121513,0.48239484619781636,0.522594589562094,1.765665137224163,0.14961480943582878,0.14419147011057926,0.13866614745091493,0.12902547691912272,0.11814742944232766,0.10643710609912889,0.09193929873382765,0.07523646587947538,0.05690052556694622,0.0338066912050332
Hour 8,0.10436209552355695,0.19142029816437134,0.27126542255803754,0.3488297204441179,0.423021657505329,0.49516192460775227,0.5650410725476318,0.633110365846093,0.7017188210978376,0.7662493634280036,3.4983884988854204,0.03712362134137702,0.04509205991367978,0.050261336835709235,0.05310845225642347,0.05557326617862385,0.055253641159500023,0.05225883824739062,0.0466067032024057,0.03927473239165526,0.02692591959506088
Hour 9,0.10537419281097042,0.19318596580695122,0.2697758696904025,0.34368769820369643,0.4125837919374889,0.4765211254356262,0.5382707958511973,0.5917482471134287,0.6478423465305297,0.700524052362186,1.9369686317434045,0.21767105083278102,0.20578848651905254,0.19332706478789322,0.18034359472860584,0.16411638505783224,0.14503091243250305,0.1239058002146619,0.10039127712364523,0.07376918250203515,0.04301219222911822
Hour 10,0.08443261330375598,0.153870782243556,0.21394343565826215,0.2678356467321477,0.3230580905079247,0.373906474918789,0.42191325319331324,0.4681734438648556,0.5114297245412284,0.5519037618631135,0.9533654643843725,0.3499990217735181,0.3326906113354903,0.3093422203762435,0.28188542369927316,0.25418627767840235,0.22342309021444626,0.19261184258145053,0.1566051868775633,0.11292838332096106,0.0630735940621218
Hour 11,0.06577018483514613,0.11765719525225589,0.1587133984392086,0.19722486973144157,0.23244426401013688,0.26060160762147533,0.28681073692415865,0.3093818995477822,0.32977131901094947,0.3498546031259263,1.2307737438931063,0.5932988938361022,0.5482891624401743,0.5001367180331384,0.4529900487688784,0.4010392276593548,0.345451073069176,0.2896133598217504,0.2297356534585067,0.16344454605686962,0.0909430285913149
Hour 12,0.07710507964327329,0.13798896660266038,0.19072798965110438,0.23822044694661407,0.2790654754669794,0.313851466307574,0.34365904949641835,0.3775038465457463,0.4060942292119884,0.43094340873568754,1.0371756239699685,0.6063993471047249,0.5596045181142476,0.5133957896738374,0.46185635294199207,0.40825571400776656,0.35200290550342656,0.29146094345992507,0.231957595067105,0.16747096389011915,0.09181650079682319
Hour 13,0.07813607184222716,0.14420470590931117,0.20426298190327125,0.2617515848030183,0.31390968583450346,0.3677459510309968,0.41384408729938554,0.4611703163221323,0.509696714526966,0.5531626643241199,1.8873343002418856,0.18271280487013805,0.17767260697810258,0.1686146960690114,0.15947323468310717,0.14401419487956343,0.13067448230562573,0.11387189266485034,0.09230007090653336,0.06844685450345749,0.03991740468169674
Hour 14,0.07710561807451814,0.1360436433406329,0.19088763946011988,0.24111682312333912,0.2885007310443721,0.33419107543671345,0.37532305833396507,0.41367293593294163,0.44985517622015153,0.4837180222935201,0.10713489066857562,0.40151505134467025,0.3726768383766234,0.3454099196543638,0.31414590972561734,0.2785571520491877,0.24091352354930717,0.20347922166105892,0.1621191829421702,0.11746238549049617,0.06464341519576441
Hour 15,0.09938898065040994,0.17890347393311604,0.25138174103877803,0.31088485202709926,0.3674141892122683,0.423975042389581,0.47836948731400614,0.5276957179895038,0.5771663858535832,0.6248996512455103,0.678130687581163,0.4168992263206452,0.3870626998626408,0.3562636470374247,0.32825951563736416,0.292980199441932,0.2586921494825595,0.2179302480172098,0.17653385775874805,0.12918407372885174,0.07364419822541197
Hour 16,0.08344917331423833,0.15085882220427949,0.21178330292338055,0.2671028296096254,0.321357694441058,0.37268986846431595,0.416886534485183,0.46164371410765453,0.503432149565807,0.5447853288378495,0.6318556822002215,0.41316081957712536,0.38395020566769894,0.3552931385413706,0.32051053095953114,0.28639025894930653,0.25089208876100033,0.2117305475334783,0.17087848521345878,0.12113738530175017,0.06927291636310903
Hour 17,0.09048493865276917,0.16676962757058597,0.2334310256754215,0.293608477227504,0.345494384535549,0.39905777460258185,0.4486876085233565,0.49654468494136467,0.5435870771713776,0.5921064304422864,1.0113643161148786,0.3513022979426203,0.32841956148044044,0.30507274323285966,0.2808985295516637,0.25385979545084514,0.22162101248369376,0.1875948365088411,0.14990259438425102,0.10577778926550013,0.060147389518997535
Hour 18,0.10474446300218251,0.1850962575505772,0.26240095023160276,0.33158378427656215,0.3961531070002334,0.4544010792340226,0.5150041291784774,0.5707146578994519,0.6268155603732616,0.6790266630794868,1.4876459318245274,0.36415829998085625,0.3431794003529097,0.3191113488626709,0.2948460872553271,0.26449755103469436,0.23235081875085267,0.1987295593392108,0.16033261888161193,0.11763523905841897,0.0669785790240051
Hour 19,0.09250733955117163,0.16943787123104007,0.23791561510664774,0.2996780692137331,0.36028787003908325,0.4143149867774336,0.4698430063278063,0.5240740929174497,0.5746916137705368,0.6224916778806101,1.667901780022973,0.2476413613630696,0.23528595276217384,0.2242654777892627,0.20826261002411206,0.18933496507627412,0.17030009152079761,0.14574611687762143,0.11837985735505693,0.08920103930636437,0.05017150222072012
Hour 20,0.10895557399152747,0.20164274375001284,0.27957401871531073,0.3562260569265635,0.42627661846265275,0.49563007770423684,0.5581089717249259,0.6164296791428032,0.6801876152493129,0.7401445652116245,2.320029105515893,0.28131898299525193,0.2664817944855274,0.25172824154992635,0.2351378143774771,0.21336876635496058,0.19435899964426875,0.17244420870378876,0.1433459582214976,0.10814196604615499,0.06361824587641783
Hour 21,0.11862986863087625,0.22323153981270022,0.31875094562475453,0.4083263637085554,0.49194212311516233,0.5728371069029639,0.6550085005197422,0.7322470538651173,0.8050039843059501,0.874662741135121,3.243892260115846,0.17047283742585911,0.17009500271961422,0.1620624356159537,0.15516473717309842,0.14732297359387336,0.13418589612001874,0.11825108879121497,0.1041217814612635,0.07912766751083061,0.048301891773223714
Hour 22,0.08071659302264352,0.15002349495186615,0.21270194740617102,0.2732791801374914,0.3323894890748584,0.3898864167249377,0.44753144621645385,0.501825134927571,0.5554162446250978,0.6052820049862686,3.3001623994507447,1.0553855028408725,0.9074974715983347,0.6891442420803651,0.5372307184876761,0.3075202797661815,0.0003831441735552946,0.01010768615800786,0.015886624574604845,0.01843072502466464,0.015002484048414871
Hour 23,0.08198894046363683,0.1547024694925655,0.22383851769812874,0.29168922155177013,0.35680292222011795,0.4207422938400739,0.48101609311898746,0.5435770235024069,0.6049687467229187,0.6633270885327658,3.808963730296316,2.053098473173681,1.918537014091976,1.7548397097924224,1.5623990323253814,1.3758065955381882,1.1264510340739333,0.782485492623188,0.3600129450352029,0.0011333442599624286,0.005327903509008398
Hour 24,0.11572198461293103,0.2145792024062304,0.3089141719236372,0.40012536763559114,0.4863644228203146,0.5710844116122642,0.6503154433078107,0.7270041346187549,0.8042713547464501,0.8773466466158212,4.519999426990513,1.2977885237341573,1.0673991061254091,0.8900984238544197,0.6476514149601,0.3252907046812932,0.0020729272280293662,0.01125003592105885,0.01636126939862448,0.018251384200946266,0.015910470939565165
