,q_0.005,q_0.01,q_0.015,q_0.02,q_0.025,q_0.03,q_0.035,q_0.04,q_0.045,q_0.05
Hour 1,26.792676173332826,24.052102235820225,22.43156811272719,21.32917547710674,20.183561363400816,19.310803852025003,18.629959003316994,17.991184329046625,17.409610422552742,16.936223729111063
Hour 2,23.821930041532465,21.308249055367128,19.795026440875098,18.827835510589097,18.028909179713164,17.195721720966283,16.642306725521223,16.18734207154195,15.715103931829667,15.23714711831359
Hour 3,24.136800390064483,21.31445410389701,19.74965044095256,18.609798394628182,17.76570737499937,17.068373143816107,16.412815970871375,15.795633853012994,15.217619062571693,14.81920454836752
Hour 4,24.266734813863128,21.82857833487928,20.54378156858074,19.266439990157473,18.18840242920834,17.54740619291443,16.921572343229332,16.30731654194764,15.752811926639481,15.215314267891966
Hour 5,25.51483575030094,22.69127774744562,21.3177206752494,20.342462553449845,19.200733471551963,18.409132605017312,17.735462622837996,17.08834596916186,16.50017146067754,16.067910395133328
Hour 6,31.15326545186121,27.66614149622081,25.48999920907079,23.739829777996466,22.508346761987756,21.52105833666552,20.706717500746176,19.83936160004923,19.087912702043944,18.512515497732924
Hour 7,23.757176263192925,20.77061708316482,19.1301211254349,18.015414449398627,17.04958108008661,16.287258193467633,15.73014505981224,15.130035484180137,14.617437717879636,14.203270790363732
Hour 8,26.195780519433914,23.57840831351759,21.919376928696064,20.52872426605783,19.481751800283597,18.65140987281739,17.935549053725993,17.32893430746035,16.739814445613828,16.263353123778586
Hour 9,25.824114544320896,23.253221907246527,21.708080006141095,20.540491810059933,19.69021820517104,18.820329985984404,18.146236935472427,17.517320400379425,16.867426385159913,16.40719687235201
Hour 10,35.97152632379685,32.51643478466423,30.279069228904326,28.63463047090969,26.860315295137383,25.66169558336559,24.464043668055226,23.671029715503334,22.831157704934725,22.090355334485956
Hour 11,26.94431354024301,23.859792917035108,22.288058894975464,20.947050242310695,19.971514865088256,19.138256993190662,18.420696242682958,17.67075288353384,17.13525403221453,16.557532355731166
Hour 12,29.88946639002787,26.599825996923506,24.414406659503978,23.07935055145287,22.099795869308696,21.221825386724905,20.522218089137926,19.816999290605594,19.145418403720985,18.603578540914192
Hour 13,29.186462277602537,26.50747243295471,24.647305791199962,23.187296533685434,21.92723558809356,20.95225037608383,20.136148377680282,19.44644422425123,18.851470272489344,18.2015004675468
Hour 14,34.32926403543942,30.677791433650956,28.65079350060086,27.053382591834982,25.739684129482047,24.52103424076582,23.63262247270068,22.800809090126332,22.0406861875242,21.190759090281674
Hour 15,29.636119568920847,26.457190289515342,24.763851308356813,23.305517681227563,22.182748311710498,21.29503109189989,20.36760227150148,19.64536931328079,19.04548212917414,18.54364564965681
Hour 16,36.18172091455948,32.297286145863495,29.39244262179617,27.650937159349212,26.30326436073628,25.053254059814858,24.133383539146,23.225234085048466,22.428139063107963,21.766320415638816
Hour 17,40.05491982600075,36.2473448235548,33.49701815592067,31.637114614344693,30.13522727102755,28.843738236551115,27.688640999025615,26.72681601340279,25.805356740271534,24.91552852891306
Hour 18,35.70099711612775,32.2373133975983,29.740587325732022,27.76868609189173,26.40767553467084,25.11805484001943,24.19324679606002,23.37854634275704,22.636756107269676,21.942124356702124
Hour 19,31.498868610401104,28.039761795974524,25.643198605825617,23.975996946771513,22.78957365421186,21.764831156658083,21.07432334574314,20.3692361533295,19.732009470200648,19.067595063378064
Hour 20,39.13808227033265,34.47268121272798,31.479113254966457,29.244216529767908,27.37802824357571,26.13720862934995,25.096157345224533,24.052859438287086,23.13765407908554,22.38493578110028
Hour 21,31.3127455008517,28.194659862365693,25.80358939999593,24.14715530973088,22.835976588408798,21.99769744621546,21.090748861531893,20.304723417551173,19.564334090671473,18.877814477206975
Hour 22,20.347498633411995,18.426887386980006,17.120389049167386,16.032395362747593,15.31178060935482,14.692460110582097,14.103273069596447,13.593239267138244,13.105614684100694,12.667641865492676
Hour 23,22.22413675739898,19.66292851262086,18.230158633338803,17.15907279435904,16.375311288487374,15.726391418970358,15.537852710224726,28.50558945150196,37.78022991755995,44.733629162955005
Hour 24,31.43722136578378,27.48702506218506,25.131354104252285,23.59885552331772,22.291792728336738,26.892680223792816,50.37407652729773,59.923666092395756,66.4042436328103,72.49136102300051
