,q_0.005,q_0.01,q_0.015,q_0.02,q_0.025,q_0.03,q_0.035,q_0.04,q_0.045,q_0.05,q_0.5,q_0.95,q_0.955,q_0.96,q_0.965,q_0.97,q_0.975,q_0.98,q_0.985,q_0.99,q_0.995
Hour 1,0.07328621533301567,0.1281911445371566,0.17767484963940036,0.22433701452439828,0.2652090445487729,0.30592564411778606,0.3385092577411283,0.3609653503417968,0.37620373546231173,0.35063978699714904,1.3757582904446513,0.3641109077699722,0.2980671186877836,0.2715507796748993,0.22203821868896498,0.18909860628189593,0.1591181283766224,0.11994387197186872,0.09522770705684548,0.06899898391231422,0.04175756077920242
Hour 2,0.06995291588075697,0.12246478237029049,0.17346899251630227,0.21849165398382367,0.2634256194330031,0.2992184092121739,0.33381961769596225,0.3594945059499433,0.3797116739088489,0.37279674173170524,1.6262241634245838,0.6322956446986047,0.45600199688326953,0.39472070253433744,0.3177041634344287,0.2609318351007278,0.19409296121904943,0.1563003059633318,0.1214308286113125,0.08124433514994965,0.046392103305939764
Hour 3,0.07125397778172646,0.12656214383033013,0.17360565627313426,0.21389068864391692,0.2530826831940682,0.29097598128780244,0.3267831934159802,0.35455744619061874,0.37290036942266647,0.365819952934019,1.7713333400603264,0.765252605807397,0.5695877911721506,0.4847851731823338,0.4386036325762349,0.34676922499133706,0.2925432446387508,0.2602377699329008,0.20994746935444508,0.17682826311665203,0.11094498446064603
Hour 4,0.07347856874158307,0.12510196098819856,0.1705569159230878,0.21566901171284344,0.2559031270550144,0.28857191693705897,0.3195094833743187,0.3423342771468625,0.35763935416436954,0.3538166567894721,1.915122749574722,0.9151930650280369,0.6610175296906502,0.5807395222325479,0.49097055843722437,0.3445515227287047,0.30333720521003976,0.26717830170662193,0.19159739190378502,0.1477847136466735,0.09839990340202093
Hour 5,0.08348847237248574,0.13415334428356543,0.18660532172418406,0.2327467992967175,0.2779819989358225,0.3183878693611391,0.3523857119529479,0.38364126527847775,0.4018947939841978,0.3852406457470309,1.8878010091473976,0.7148316150788337,0.5728834241313316,0.5125948787566152,0.3889905382217899,0.3014097092659243,0.23238094920496788,0.18426752329180324,0.14087439393074294,0.06839036476381362,0.038817288626394005
Hour 6,0.07512265589929397,0.13361519475137035,0.1873951508921961,0.23594432338591545,0.282361441273843,0.32295798517042584,0.36089082594840755,0.39469271259923144,0.42156838786217465,0.42341424880489226,1.9395091542889997,0.6741609462614985,0.5438802288424586,0.4221982008411039,0.3052534694056358,0.22108710135183038,0.1971819016241259,0.16021773799773187,0.11562197285313759,0.0705958372546781,0.04121356348837581
Hour 7,0.07866470512882355,0.1381372542350523,0.19503393147376274,0.24667216604909584,0.29457921938742365,0.3399108598524524,0.3853645863194619,0.41952920414094,0.44520182562797284,0.4467012273726925,1.8389329073506013,0.5357855891566125,0.4091088964154645,0.32076041259765625,0.277162284531132,0.22960621854720578,0.15352617583736303,0.1154506329936367,0.09408792306223233,0.06919879992085126,0.04133883607925911
Hour 8,0.0784383956478488,0.1454645285329511,0.20717733956613843,0.2656764195103799,0.3194188100753293,0.36834539698939167,0.41707203531572895,0.45583996404832416,0.489279896496188,0.5002964200665874,1.7966756119266634,0.4162869297150641,0.37992207929549676,0.34348963859311993,0.27379491185834337,0.24519276118124692,0.2081669756981635,0.16618909665999876,0.12065800677884016,0.08859745217600178,0.04494613743443646
Hour 9,0.08081981833058019,0.14499497761880195,0.20330767061787267,0.26047476388254476,0.3110086658846948,0.3589382359166298,0.40143562136004046,0.432312679069273,0.44522516448728494,0.44355558629189773,1.5626911606327178,0.41972728556971406,0.3270735262470862,0.3060257003291961,0.26631832826675916,0.2216377218431042,0.1850187016148721,0.15994921018538943,0.12854091752575295,0.08796472478066723,0.04666653105212798
Hour 10,0.07050726189151887,0.12306470329530779,0.1722818582596317,0.21899818321966363,0.260134180438134,0.2949562697872038,0.33119780214371225,0.35573749714512976,0.370281041299143,0.3633309093598396,1.5186792410573655,0.4919069290161136,0.24063317920315683,0.21623087926064788,0.20656385347920098,0.1901146478960593,0.16955583756969833,0.1439005141719696,0.11723144051336482,0.08437961258426799,0.053923159814650054
Hour 11,0.06381066408464985,0.11678231565413937,0.16439309009428948,0.2085640726397114,0.24816123408655966,0.2844131724449895,0.32051339075642254,0.34962256597703495,0.3626933941379671,0.3535005071086268,1.353804729830834,0.32614420983099196,0.27633978468372,0.2515688328896801,0.2185597316372781,0.2018329999369962,0.1800781760677216,0.1506243738974296,0.12264258772327065,0.09050171341434608,0.055875603214387025
