,q_0.005,q_0.01,q_0.015,q_0.02,q_0.025,q_0.03,q_0.035,q_0.04,q_0.045,q_0.05
Hour 1,23.00875522244361,19.719012844947077,18.193503779749715,17.48686605884182,17.935101982855024,17.72586564094789,17.627273656256182,18.311229336646292,17.652193301894755,18.2774309465962
Hour 2,23.26900383733934,20.370911752024004,20.38819327405704,19.711995094053208,19.758956786124937,21.569585964243892,22.426012988464073,23.83004385425198,24.222220308037212,29.254168147425492
Hour 3,50.74166347134494,41.13377454203944,33.16766740942514,30.767563912176318,27.982810826455395,27.62076519381616,29.87738292887463,29.005539125011804,30.04459577307478,35.40765407931419
Hour 4,45.88458688797489,34.738660443213675,30.573204655801096,31.667100660262566,29.277621693764953,27.63851485713835,32.62708997067217,33.4593023484753,33.771734025743264,41.170494670252644
Hour 5,24.46115223053963,20.38176161243068,25.07511557302168,24.505509407289566,24.561975909817598,25.979265233521815,27.913755944247605,31.269611850861573,31.018091940110722,33.93067101509339
Hour 6,23.26724390829763,20.42110320060484,21.430245573802644,21.83533853100191,21.532709490868353,20.299845090476413,22.94665806853825,26.710849885017634,29.847072444081732,32.57989765290291
Hour 7,24.000708180089152,20.733605415590347,19.274790302399666,18.106139952136623,18.89312725682412,21.935954411824543,22.42020091043639,22.451275733209425,24.451013838518474,27.613854352889515
Hour 8,24.676906647220736,24.614995956420888,23.361457578597523,24.05538921971474,24.059573339646857,23.7209044220627,23.08539962768554,24.487564825242554,24.053813113961155,23.86608029027138
Hour 9,25.497269845777943,24.06702539997715,23.81563186645507,22.5986161385813,21.249055259458476,21.130190203266757,21.535149895101092,21.38715110286589,20.123542013134152,22.174970220750378
Hour 10,24.886084402761153,20.744431587957568,19.300886584866433,18.144934869581654,17.187600720313288,16.169030589442098,15.364618732083228,14.299209410144437,13.959118641405555,23.05899979376025
Hour 11,23.93725352133474,20.728402906848537,19.135711854504002,17.959422326857045,17.129576406171246,16.208205746066184,15.402089211248583,15.434221636864445,14.996197669736798,15.355662499704668
Hour 12,22.494041135234216,20.099104235249182,18.632972040484027,17.724804970525927,16.82025823285503,16.01816048160676,15.246603319721837,14.3211734525619,13.153248140888829,11.483138299757435
Hour 13,23.8846925304782,20.593857980543568,19.044773717080393,18.03777959269862,17.281947215910883,17.046102626349338,16.52353819394441,15.803793322655457,16.25683868572276,16.100802612304683
Hour 14,22.85717231996598,20.773130970616496,19.602714907738463,18.69509364712622,19.278930897866527,19.74460751523254,23.754712372880928,22.91194583523658,22.132367410967426,20.270227579916675
Hour 15,24.37916244999055,21.9225945011262,20.857378190563573,19.841918206983998,18.867024821619832,18.05668867788007,17.17459592511577,17.94971582966466,16.646295171484727,16.50514841387348
Hour 16,25.889211162444084,23.08287798973822,21.624212018905148,20.70357156568958,19.707923027776904,18.87030183115313,17.88592621587938,16.9953426853303,16.081085143550748,15.082376049410907
Hour 17,25.916309479744204,22.957481999551096,21.60757181721349,20.459255403087987,19.630345129197643,18.633455830235636,17.91880835256269,16.980558764549993,16.393894236574894,14.884390578731416
Hour 18,24.055387989167244,21.904629738100112,20.515273617159934,19.31016029850129,18.72309020257765,17.83762642645067,16.951012334515973,15.957750566544071,15.968782459108631,17.647164880075753
Hour 19,26.95806183353547,22.985592749810987,21.10983590156801,20.00617987109769,19.037022006127142,18.13543651949975,17.203315181116903,16.282385856874527,15.021569959578976,12.973460609682142
Hour 20,28.278718333090506,23.92555655202558,21.427967809861705,19.676101130823934,18.53370266575967,17.682505638368667,16.61032615169402,15.757957273913968,14.664607509489983,15.315152752783995
Hour 21,27.437163999003747,22.913683922060073,21.386240743821666,19.872157435263357,18.927066126177387,17.675733381702052,16.86513925367786,15.92425290999874,14.711729480374244,13.903768096431612
Hour 22,25.66731200679656,22.097193933302357,20.359479719592677,19.152388172764933,18.117815448391823,16.90168737596081,17.050388775662892,16.691279995825983,15.68647924717182,16.02074599727508
Hour 23,28.405099807247012,23.279220642582047,26.757667582522146,23.909235677411473,23.20921463504914,21.781557431785007,20.39562561105473,19.52031117100869,20.115619837169575,22.858887309412804
Hour 24,25.182617249027377,30.583223158313405,28.913136841148475,29.504187060940662,29.279266025174056,27.72653091594738,27.890486396402807,28.473799859323805,28.260028531474447,28.680215860182237
