model,horizon_h,mae_model,mae_naive,improvement_vs_naive_pct
LASSO-ARX,1,2.158709314982097,4.926000000000001,56.17723680507316
Quantile regression median (QR-DNN),1,2.942052790323894,4.926000000000001,40.27501440674191
LSTM/sequence,1,3.3907889302571608,4.926000000000001,31.16547035612749
LASSO-ARX,2,2.995036865234376,5.761666666666667,48.01787332540857
Quantile regression median (QR-DNN),2,3.437082712809244,5.761666666666667,40.345686211005315
LSTM/sequence,2,3.676357040405273,5.761666666666667,36.19281966320036
LASSO-ARX,3,3.3304878997802736,5.6160000000000005,40.696440530978045
Quantile regression median (QR-DNN),3,3.6249679361979172,5.6160000000000005,35.45285013892598
LSTM/sequence,3,4.06924100748698,5.6160000000000005,27.542004852439824
LASSO-ARX,4,3.6498791249593086,5.267666666666666,30.711653642486063
Quantile regression median (QR-DNN),4,3.782252423604328,5.267666666666666,28.198713720097548
LSTM/sequence,4,4.37369288889567,5.267666666666666,16.970963319072254
