,PI_0.005_0.995,PI_0.01_0.99,PI_0.015_0.985,PI_0.02_0.98,PI_0.025_0.975,PI_0.03_0.97,PI_0.035_0.965,PI_0.04_0.96,PI_0.045_0.955,PI_0.05_0.95
Hour 1,20.46446296525195,18.50854506427312,17.277382893378814,16.337241903617596,15.591822372545273,14.956023293625375,14.422257149828747,13.935891580200698,13.494742763604386,13.073741897713163
Hour 2,21.38101357212938,19.318118601610088,18.014289097172828,17.13818149895462,16.773874457128645,16.367033808784576,15.911836942266874,15.477607085580967,15.075658426411353,14.800131628904113
Hour 3,20.12671133144108,19.035326119815178,18.58721209275431,17.848339798159483,17.17156807285685,16.598442099324014,16.23483872565328,15.940368049232845,15.602069561025631,15.18853482642748
Hour 4,20.465827796138992,18.517540195284887,18.528392873477454,18.041071381345027,17.465561910559472,16.955276453553253,16.38712530889504,16.07478646266675,15.74985556262013,15.434530548571045
Hour 5,20.75288316664346,18.75015145249871,17.5310137415438,16.580393677625437,15.84737227901076,15.208271525566333,14.656472498693699,14.40570081843513,14.239262844974059,14.01075661258887
Hour 6,21.410180932178054,19.343929579174013,18.04618425949732,17.097288055735984,16.342377086270865,15.683017943926973,15.106040824835704,14.969213136733307,14.73143865818147,14.47957432230627
Hour 7,22.92768808363096,20.742941017596372,19.343613642107336,18.326235895079435,17.486693373968286,16.78851404928654,16.30327199210759,15.957391576061836,15.567550158442579,15.207440020880075
Hour 8,22.848112678622474,20.618145807240754,19.248528468406366,18.193864286611003,17.438692118391344,17.11508639585521,16.699752468973188,16.306201013667238,16.067180610957415,15.788141933685479
Hour 9,22.607082350317427,20.4169654300707,19.038060721757912,18.014144925056282,17.23817084172468,16.95564429368844,17.00808718475305,16.800765784369634,16.552695847380846,16.251423066510256
Hour 10,20.844476332997512,18.86029064905423,17.575846582325394,16.644298591299638,15.890679584564188,15.258343281282832,14.698330850096566,14.218438467718483,13.845972661258578,13.523155299020518
Hour 11,21.08090279623398,19.1104498217672,17.82187345692899,16.84954759413071,16.2877822486848,15.811506230098805,15.35466465154484,14.9287946032286,14.515455813771194,14.123762976747987
Hour 12,21.1454155062645,19.082005433859415,17.87483674215381,16.922790273716405,16.31614237006358,16.488644171873997,16.379219285638992,16.20902599636556,15.947905052058598,15.589762996567721
Hour 13,21.335227323934014,19.280329049896444,18.353526915443535,18.039587090484012,17.760208010965535,17.567337092989106,17.473448790838802,17.27979348087935,16.95671771321484,16.652413127891805
Hour 14,30.30538357692729,26.646618581661187,23.979084220058848,22.180424804230235,20.843974651187324,19.672285743885986,18.80869639095949,18.014924781813065,17.474417347892523,16.937700466298132
Hour 15,23.045296143899876,20.837848327744076,19.659042767989636,19.591668710928268,19.064499941007654,18.481938220501867,18.03968567310968,17.51909841980683,17.039956907186294,16.515482961625608
Hour 16,24.218656190317382,21.877337134200893,20.392911437498956,19.30485392514792,18.4044669145483,17.654902687182677,17.0089339618454,16.42358761676646,15.894167519970916,15.429044568142874
Hour 17,24.330640489464642,21.964337099431315,20.49680840059708,19.373801122106187,18.458302954908483,17.727635426318944,17.090375655069124,16.511217338705087,15.988607482562145,15.527622906589304
Hour 18,23.62594285552345,21.31787506603538,19.90295318782859,18.853227761137664,18.017333205163542,17.291361147545334,16.649738216645833,16.061149137182426,15.562418566510736,15.09721644996852
Hour 19,22.82591080797315,21.147490706076827,20.991636515398238,20.5626944960356,19.783204007778213,19.069465442432804,18.473935144924003,17.855030035423727,17.32103082103289,16.819767792749015
Hour 20,23.476376225929023,21.25947555079055,19.837147516081842,19.619755421125614,19.332790664089078,18.94564872586396,18.47240965955862,17.91520216470366,17.402566501588325,16.949713055709243
Hour 21,22.218293231326292,20.12491533628034,18.800956737013205,17.79246907073971,16.994220030498777,16.30622555301493,15.721319970017275,15.18055899253606,14.700965650050133,14.396877362786723
Hour 22,20.589517300950313,18.68036324536888,17.402561935085004,16.49333435153411,15.745182955122008,15.123564128377955,14.565868556484004,14.081749843001642,13.621510765828177,13.208358585946275
Hour 23,20.53217752054021,18.570704131882344,17.38268144597632,16.4704271634407,15.709833553340518,15.048492837834733,14.509715573706371,14.020627843223295,13.589844537738372,13.184476051316858
Hour 24,23.061837113092775,20.852943356127163,19.469723372095658,18.41660107957084,17.84392920295416,17.436324166090067,16.94245234222945,16.547840604218088,16.32839807516702,16.09313489534622
