,PI_0.005_0.995,PI_0.01_0.99,PI_0.015_0.985,PI_0.02_0.98,PI_0.025_0.975,PI_0.03_0.97,PI_0.035_0.965,PI_0.04_0.96,PI_0.045_0.955,PI_0.05_0.95
Hour 1,23.849131122712166,22.44049386055238,20.291993397538377,19.088074407269875,18.72869452199628,18.15696322533392,16.92781567024196,16.50398451282132,16.504774421773927,16.031761883151145
Hour 2,23.349331763482862,20.598205689461,24.23394104742235,22.974981738675027,21.486883471089026,21.42554016523464,19.955656579013244,18.592039108276367,18.03681695589455,16.62110281913511
Hour 3,23.327223685479932,25.96029213936098,22.42106257202805,24.517511306270475,22.454535010553176,21.491318200224192,20.588604562293547,19.60664164635443,20.763030958004745,23.294915894539123
Hour 4,36.6754088247976,26.94463748316611,23.970659748200447,24.428062131327966,25.958035536735284,26.36002981534568,25.091627173709426,23.28183604824927,22.037014246841487,24.184360418012062
Hour 5,24.914480824624338,29.799923250752098,26.363095314271987,24.718768704322073,24.226695399130545,24.262566761303972,23.699759215253835,23.134387231642194,22.2618168383089,25.514741442280428
Hour 6,24.678037520377867,20.507901591639364,21.78559500171293,21.094383424328225,21.20914413698258,20.373176144015403,20.68656636602868,21.440711359823904,22.716946297648988,24.21690081934775
Hour 7,23.826685259419104,24.402824032691214,21.74175030698058,20.23170280456543,21.487877015144594,20.271607593823504,21.06041285079745,20.49573812177104,19.71841509966012,21.92217909289944
Hour 8,42.88426060830392,32.126005849530614,28.617355961953436,25.570610292496216,23.777260146602504,22.719995539675473,21.99031058104906,21.001163421138635,20.830042275049347,20.779688201412075
Hour 9,25.312592967864006,29.00164007371471,25.380398227322484,23.241426775532382,22.169196245747226,22.59504031109553,21.54951967511858,21.107291744601337,21.110400770727452,23.813299782045423
Hour 10,23.586731818414503,20.500630101849957,19.228938625704856,18.294894679900146,18.535923053372294,18.4200186780704,18.599310387114777,18.018449721797825,17.958338822942483,16.52143573145713
Hour 11,24.217431345293598,20.64549821422946,19.290067918838993,18.18767221512333,17.262997781076738,16.14564194217805,15.251981858284243,14.512067364108178,13.280964075450827,13.784863342777374
Hour 12,22.956424467025265,20.526735551895634,19.268590804069273,18.135754062283425,17.2319154431743,16.45095665224137,15.686205710134198,14.826852490825038,13.658728015038275,12.385853318245179
Hour 13,23.67249857994818,20.54703140258789,19.222516521330803,17.980763650709584,17.509773094423355,16.892085823961484,15.935675862747404,15.627458880024571,14.521968178424356,13.695648242581273
Hour 14,24.14036258574455,20.70880748379615,19.112232331306704,18.36329737017232,17.915922238749847,17.454632605275805,16.9464290021202,16.623973907962924,15.750838495069935,14.515766217631677
Hour 15,24.79020094102429,22.0608703244117,20.334839174824378,19.2366883677821,18.352887799662927,17.595667562177105,16.91663877425655,16.471211771811205,15.579777864572392,15.690388476464053
Hour 16,25.739170812791393,23.235852579916678,21.71150896626134,20.31270230200983,19.309439259190714,18.56460860467726,17.88981443835843,17.013470188263923,16.30599295366622,14.161098849388857
Hour 17,25.517157954554403,22.78850592336347,21.51526408041677,20.355195137762255,19.385300851637318,18.500051682995213,17.614998848207534,16.797051952731223,15.872803746158503,14.530165973786383
Hour 18,24.71079235692178,22.01202017261136,20.293273310507498,19.251380120554277,18.429874051001764,17.591117366667717,16.734400349278605,16.01734838178081,14.792991392074093,13.253267989620085
Hour 19,27.406213821903354,23.1332030757781,21.4719481929656,20.147323792980565,19.232418921685987,18.228692085512222,17.309405542189076,16.105604479389807,15.101913082984186,13.550480639549994
Hour 20,29.10506765304073,24.471444160707534,21.76991887246409,20.25719525737147,19.12131247981902,17.94486464223554,16.841494652532763,15.896372333649666,15.022539350721571,14.263596922351464
Hour 21,27.643198813161543,23.600342104511878,21.859540262529926,20.283440189976847,19.116781050159084,17.643218932613248,16.759251625307144,15.814828441989038,14.94201221260973,14.522444103610134
Hour 22,26.520335351267168,21.82479489234186,20.119436817784464,18.970584008001513,17.78470020909463,16.901937423213834,15.813397315240675,14.809558991462954,13.678725704070061,14.983600099625127
Hour 23,24.430335752425655,20.549545841832316,20.90845247494277,19.24186903430569,18.244372041763793,17.150916848131402,16.97926457137007,16.240060498637536,14.991464197849288,15.949176443776777
Hour 24,29.556243896484375,27.812726605323054,26.25646763463174,24.2848571654289,24.24230346679688,23.38600257135207,22.85789374602006,23.640047627110636,22.465687659478952,24.840880978492
